Name,Type,Level,Race,Attribute,ATK,DEF,LCK,Release_date,Rare
"Leo, the Keeper of the Sacred Tree",Synchro Monster,10,Beast,EARTH,3100,1900,1.46,07/03/2008,True
Infernalqueen Archfiend,Effect Monster,4,Fiend,FIRE,900,1500,9.04,18/02/2013,False
Jurrac Brachis,Tuner Monster,3,Dinosaur,FIRE,1000,1000,2.5,24/02/2005,True
Lavalval Dragun,Synchro Monster,6,Dragon,FIRE,2500,1200,5.2,10/08/2018,True
D.D. Dynamite,Trap Card,,Normal,,,,2.76,17/05/2002,True
Evo-Karma,Spell Card,,Continuous,,,,3.91,26/03/2013,True
Dark Cat with White Tail,Flip Effect Monster,2,Beast,EARTH,800,500,3.83,29/12/2002,False
Deep Sweeper,Effect Monster,4,Fish,WATER,1600,1300,8.91,10/11/2003,False
Dreamsprite,Effect Monster,2,Plant,LIGHT,300,200,7.78,16/11/2017,True
Gem-Knight Zirconia,Fusion Monster,8,Rock,EARTH,2900,2500,7.31,31/12/1999,True
Hazy Flame Hydra,Effect Monster,6,Dinosaur,FIRE,2300,200,9.94,12/10/2018,False
D - Counter,Trap Card,,Normal,,,,2.5,04/07/2017,False
Red Mirror,Effect Monster,1,Fiend,FIRE,0,0,1.7,09/05/2014,False
Bokoichi the Freightening Car,Normal Monster,2,Machine,DARK,500,500,2.58,18/11/2014,False
Abyss-scale of the Kraken,Spell Card,,Equip,,,,4.23,09/09/2009,True
Gladiator Beast's Battle Archfiend Shield,Spell Card,,Equip,,,,8.37,25/11/2000,True
Beelzeus of the Diabolic Dragons,Synchro Monster,10,Dragon,DARK,4000,4000,2.73,05/09/2008,False
Hourglass of Life,Normal Monster,2,Fairy,LIGHT,700,600,0.79,26/08/2000,True
Raidraptor - Wild Vulture,Effect Monster,6,Winged Beast,DARK,1600,2000,3.86,22/08/2015,True
Maju Garzett,Effect Monster,7,Fiend,DARK,0,0,7.79,21/02/2017,False
Combo Fighter,Effect Monster,4,Warrior,WIND,1600,800,0.95,26/06/2010,False
Evilswarm Mandragora,Effect Monster,4,Plant,DARK,1550,1450,8.97,01/09/2013,False
Ally of Justice Cosmic Gateway,Effect Monster,8,Machine,DARK,2400,1200,5.81,26/02/2006,False
Cubic Mandala,Trap Card,,Continuous,,,,6.95,26/04/2003,True
Poison of the Old Man,Spell Card,,Quick-Play,,,,3.16,26/01/2012,True
Artifact Chakram,Effect Monster,5,Fairy,LIGHT,1900,2000,9.48,24/03/2001,True
Star Seraph Scout,Effect Monster,4,Fairy,LIGHT,1200,1800,8.1,28/08/2017,True
Djinn Releaser of Rituals,Effect Monster,3,Fiend,DARK,1200,2000,4.73,11/03/2000,False
Lord Gaia the Fierce Knight,Effect Monster,7,Warrior,EARTH,2300,2100,1.1,23/03/2016,False
The Drdek,Normal Monster,3,Fiend,DARK,700,800,2.98,04/10/2004,True
A Hero Lives,Spell Card,,Normal,,,,4.6,31/05/2013,True
Respect Play,Trap Card,,Continuous,,,,7.29,08/01/2015,False
Combination Attack,Spell Card,,Quick-Play,,,,9.45,11/12/2008,True
"Sephylon, the Ultimate Timelord",Effect Monster,10,Fairy,LIGHT,4000,4000,7.67,23/11/2003,True
Black-Winged Dragon,Synchro Monster,8,Dragon,DARK,2800,1600,5.05,21/10/1999,True
Galaxy Dragon,Effect Monster,4,Dragon,LIGHT,2000,1200,9.92,01/12/2013,False
Graceful Tear,Trap Card,,Normal,,,,8.69,20/11/2002,True
Blackwing - Steam the Cloak,Tuner Monster,3,Winged Beast,DARK,800,1200,2.19,12/03/2008,False
Steam Token,Token,,Aqua,,,,6.07,19/11/2005,False
Gagagigo the Risen,XYZ Monster,4,Reptile,WATER,2950,2800,3.8,14/07/2003,True
General Grunard of the Ice Barrier,Effect Monster,8,Warrior,WATER,2800,1000,9,31/12/2009,False
Infernity Barrier,Trap Card,,Counter,,,,8.72,11/08/2009,False
Major Riot,Trap Card,,Normal,,,,2.44,27/11/2003,True
Armed Ninja,Flip Effect Monster,1,Warrior,EARTH,300,300,5.38,10/04/2004,False
Performapal Gongato,Pendulum Effect Monster,1,Beast,EARTH,100,100,3.34,17/09/2011,False
Blackwing - Fane the Steel Chain,Effect Monster,2,Winged Beast,DARK,500,800,9.12,16/07/2013,True
Ostinato,Spell Card,,Normal,,,,9.21,08/05/2019,True
Swap Frog,Effect Monster,2,Aqua,WATER,1000,500,6.57,03/01/2014,False
Ritual Sealing,Trap Card,,Normal,,,,2.15,03/06/2019,False
Apprentice Magician,Effect Monster,2,Spellcaster,DARK,400,800,6.06,02/04/2013,False
Dark Gray,Normal Monster,3,Beast,EARTH,800,900,8.71,04/04/2003,True
Dragon Statue,Normal Monster,3,Warrior,EARTH,1100,900,6.09,19/10/2003,False
D - Fortune,Trap Card,,Normal,,,,5.23,29/04/2012,True
Gishki Photomirror,Spell Card,,Ritual,,,,7.03,27/06/2014,True
Galaxy-Eyes Cloudragon,Effect Monster,1,Dragon,LIGHT,300,250,2.87,10/10/2000,True
Horus' Servant,Effect Monster,1,Beast-Warrior,FIRE,100,100,9.53,07/09/2009,False
Flashbang,Trap Card,,Normal,,,,6.82,31/01/1999,False
Stellarknight Constellar Diamond,XYZ Monster,5,Wyrm,LIGHT,2700,2000,1.71,28/05/2013,True
Venom Boa,Effect Monster,5,Reptile,EARTH,1600,1200,2.43,19/11/2012,True
Dark Renewal,Trap Card,,Normal,,,,4.71,23/05/2005,False
Metal Dragon,Fusion Monster,6,Machine,WIND,1850,1700,0.71,12/01/2019,True
Fluffal Crane,Trap Card,,Normal,,,,1.32,07/04/2010,False
Elemental HERO Voltic,Effect Monster,4,Thunder,LIGHT,1000,1500,1.18,01/03/2018,False
The Phantom Knights of Mist Claws,Trap Card,,Normal,,,,6.46,27/11/2003,True
"Cagna, Malebranche of the Burning Abyss",Effect Monster,3,Fiend,DARK,1500,300,0.98,26/08/2003,False
Cloudcastle,Synchro Monster,9,Machine,WIND,0,3000,0.58,12/10/2009,True
Photon Veil,Spell Card,,Normal,,,,2.08,04/08/2009,True
Speed Warrior,Effect Monster,2,Warrior,WIND,900,400,2.63,29/07/2010,False
Fuhma Shuriken,Spell Card,,Equip,,,,1.79,08/07/1999,True
Gravi-Crush Dragon,Effect Monster,6,Dragon,DARK,2400,1200,3.82,27/01/2012,True
Superheavy Samurai Battleball,Tuner Monster,2,Machine,DARK,100,800,1.25,01/01/2007,True
Destiny HERO - Malicious,Effect Monster,6,Warrior,DARK,800,800,9.88,24/10/2020,True
Bujin Hirume,Effect Monster,4,Beast-Warrior,LIGHT,2000,1000,0.64,17/11/2005,False
Jinzo - Returner,Effect Monster,3,Machine,DARK,600,1400,9.52,24/03/2008,True
LaLa Li-Oon,Normal Monster,2,Thunder,WIND,600,600,8.27,09/03/2000,False
Malefic Blue-Eyes White Dragon,Effect Monster,8,Dragon,DARK,3000,2500,3.74,21/10/2017,True
U.A. Goalkeeper,Effect Monster,6,Warrior,EARTH,1000,2800,8.18,07/07/2012,False
Boulder Tortoise,Normal Monster,6,Aqua,WATER,1450,2200,3.29,21/11/2000,True
Reaper of Prophecy,Effect Monster,6,Spellcaster,DARK,2000,1600,5.08,20/03/2019,False
Monster Slots,Spell Card,,Normal,,,,4.94,19/09/2010,False
Gagaga Caesar,Effect Monster,3,Warrior,EARTH,1800,600,9.67,13/12/2016,True
Chaos Sorcerer,Effect Monster,6,Spellcaster,DARK,2300,2000,7.66,18/10/2007,True
Shadowknight Archfiend,Effect Monster,4,Fiend,WIND,2000,1600,4.54,04/04/2008,False
D.D.R. - Different Dimension Reincarnation,Spell Card,,Equip,,,,5.02,10/01/2017,True
"Iris, the Earth Mother",Effect Monster,6,Fairy,LIGHT,2400,1200,5.98,17/06/2018,True
Guardian Kay'est,Effect Monster,4,Sea Serpent,WATER,1000,1800,3.62,10/07/2002,True
Des Wombat,Effect Monster,3,Beast,EARTH,1600,300,1.22,22/09/2009,False
Kaminari Attack,Fusion Monster,5,Thunder,WIND,1900,1400,1.51,12/05/2014,False
Cubic Karma,Spell Card,,Continuous,,,,8.66,15/07/2014,True
Golem Dragon,Effect Monster,4,Dragon,EARTH,200,2000,7.26,08/10/2009,True
Photon Slasher,Effect Monster,5,Warrior,LIGHT,2100,1000,7.26,25/06/2018,False
Owner's Seal,Spell Card,,Normal,,,,3.76,20/11/2004,False
Jet Synchron,Tuner Monster,1,Machine,FIRE,500,0,1.38,18/09/2000,False
Good Goblin Housekeeping,Trap Card,,Normal,,,,1,27/07/2018,True
Caius the Shadow Monarch,Effect Monster,6,Fiend,DARK,2400,1000,6.18,07/05/2013,False
Hot Red Dragon Archfiend Abyss,Synchro Monster,9,Dragon,DARK,3200,2500,7.64,10/09/2010,True
Dark Contract with the Witch,Trap Card,,Continuous,,,,7.25,18/11/2012,True
Gladiator Taming,Spell Card,,Quick-Play,,,,9.91,23/12/2010,False
White Dragon Ritual,Spell Card,,Ritual,,,,9.51,04/09/2013,True
Silver Sentinel,Effect Monster,4,Warrior,EARTH,1500,1300,2.73,04/09/2000,False
Gyaku-Gire Panda,Effect Monster,3,Beast,EARTH,800,1600,0.88,30/05/2014,False
Tannhauser Gate,Spell Card,,Normal,,,,7.6,10/09/1999,False
"Musto, Oracle of Gusto",Effect Monster,4,Psychic,WIND,1800,900,5.79,25/02/2009,False
Emblem of the Awakening,Spell Card,,Ritual,,,,7.64,23/06/2010,False
Woodland Archer,Effect Monster,3,Beast-Warrior,EARTH,1400,1300,6.85,16/11/2008,True
Mogmole,Effect Monster,2,Beast,EARTH,800,800,7.86,24/12/2010,False
Ally of Justice Decisive Armor,Synchro Monster,10,Machine,DARK,3300,3300,2.12,06/06/2020,False
Gusto Codor,Effect Monster,3,Winged Beast,WIND,1000,400,1.27,29/07/1999,True
D.3.S. Frog,Fusion Monster,8,Aqua,WATER,2500,2000,0.58,13/11/2003,False
Black Wing Revenge,Trap Card,,Normal,,,,9.54,07/06/2020,False
Blackwing - Black Crest Token,Token,,Winged Beast,,,,1.75,12/11/2001,True
Blackwing - Gofu the Vague Shadow,Tuner Monster,5,Winged Beast,DARK,0,0,1.24,12/02/1999,False
Vague Shadow Token,Token,,Winged Beast,,,,6.16,13/07/2009,False
Chain Summoning,Spell Card,,Quick-Play,,,,9.31,24/10/2018,True
Triamid Fortress,Spell Card,,Field,,,,9.05,21/02/2008,True
Imperial Custom,Trap Card,,Continuous,,,,4.38,17/07/2007,True
Beast Rage,Spell Card,,Normal,,,,3.74,13/04/2020,False
Obelisk the Tormentor,Effect Monster,10,Divine-Beast,DIVINE,4000,4000,9.71,26/04/2006,False
Obelisk the Tormentor,Effect Monster,10,Divine-Beast,DIVINE,4000,4000,6.87,17/01/2001,False
Obelisk the Tormentor,Effect Monster,10,Divine-Beast,DIVINE,4000,4000,6.15,31/03/2001,False
The Winged Dragon of Ra,Effect Monster,10,Divine-Beast,DIVINE,0,0,1.71,19/04/2012,False
The Winged Dragon of Ra,Effect Monster,10,Divine-Beast,DIVINE,0,0,7.58,01/01/2018,False
Slifer the Sky Dragon,Effect Monster,10,Divine-Beast,DIVINE,0,0,9.85,15/01/2005,False
Slifer the Sky Dragon,Effect Monster,10,Divine-Beast,DIVINE,0,0,2.21,08/02/2005,False
Slifer the Sky Dragon,Effect Monster,10,Divine-Beast,DIVINE,0,0,0.91,25/07/2005,False
The Winged Dragon of Ra - Sphere Mode,Effect Monster,10,Divine-Beast,DIVINE,0,0,6.33,12/01/1999,False
The Winged Dragon of Ra - Immortal Phoenix,Effect Monster,10,Divine-Beast,DIVINE,4000,4000,3.61,14/11/2008,True
Gachi Gachi Gantetsu,XYZ Monster,2,Rock,EARTH,500,1800,7.31,06/05/2016,False
Crystal Release,Spell Card,,Equip,,,,1.62,24/02/2007,False
Banner of Courage,Spell Card,,Continuous,,,,7.45,05/04/2004,False
Worm King,Effect Monster,8,Reptile,LIGHT,2700,1100,4.04,21/10/2003,False
Reborn Tengu,Effect Monster,4,Beast-Warrior,WIND,1700,600,7.98,05/03/2002,False
Divine Dragon - Excelion,Effect Monster,5,Dragon,LIGHT,1500,900,4.99,16/08/2009,False
Weapon Change,Spell Card,,Continuous,,,,2.5,12/12/2012,True
Koa'ki Meiru Rooklord,Effect Monster,7,Warrior,EARTH,2800,2200,1.16,24/02/2008,False
Spell-Stopping Statute,Trap Card,,Counter,,,,9.44,30/12/2011,False
Protector of the Throne,Normal Monster,4,Warrior,EARTH,800,1500,6.78,26/09/2002,True
Jurassic World,Spell Card,,Field,,,,5.24,21/03/2006,False
Tiger Dragon,Effect Monster,6,Dragon,EARTH,2400,1800,5.09,25/10/2013,False
Mecha Bunny,Effect Monster,2,Machine,EARTH,800,100,8.46,16/09/2011,False
Deskbot 005,Pendulum Effect Monster,5,Machine,EARTH,500,500,7.19,23/04/2017,True
Reinforce Truth,Trap Card,,Normal,,,,7.85,10/07/2002,False
Wingtortoise,Effect Monster,3,Aqua,WIND,1500,1400,1.7,29/01/2005,False
R-Genex Oracle,Tuner Monster,1,Spellcaster,DARK,300,300,9.59,16/07/2000,False
Masked Sorcerer,Effect Monster,4,Spellcaster,DARK,900,1400,4.45,29/11/2011,False
Raidraptor - Avenge Vulture,Effect Monster,4,Winged Beast,DARK,1700,100,0.87,15/01/2005,True
Skull Red Bird,Normal Monster,4,Winged Beast,WIND,1550,1200,1.12,03/11/2018,False
Decayed Commander,Effect Monster,4,Zombie,EARTH,1000,1500,5.65,12/09/2011,True
Goe Goe the Gallant Ninja,Effect Monster,4,Warrior,WIND,1500,1000,0.38,23/06/2007,False
Magical Abductor,Pendulum Effect Monster,4,Spellcaster,EARTH,1700,1400,4.95,02/12/2011,False
Hieroglyph Lithograph,Spell Card,,Normal,,,,2.9,04/06/2013,False
Cyber Blader,Fusion Monster,7,Warrior,EARTH,2100,800,9.47,29/08/2015,True
The Statue of Easter Island,Normal Monster,4,Rock,EARTH,1100,1400,8.6,11/01/2016,True
Xyz Revenge,Spell Card,,Normal,,,,7.62,28/11/2010,False
Planckton,Trap Card,,Normal,,,,0.77,10/06/2017,False
Yaiba Robo,Normal Monster,4,Machine,DARK,1000,1300,1.89,12/04/2010,True
Sunlight Unicorn,Effect Monster,4,Beast,LIGHT,1800,1000,7.96,17/03/2012,True
Scroll of Bewitchment,Spell Card,,Equip,,,,5.03,31/07/2006,True
Ignition Beast Volcannon,Fusion Monster,6,Machine,EARTH,2300,1600,0.02,15/09/2008,False
Command Knight,Effect Monster,4,Warrior,FIRE,1200,1900,8.25,01/12/2003,True
Frightfur Leo,Fusion Monster,7,Fiend,DARK,2400,2000,2.46,27/06/2014,False
Battle Eagle Token,Token,,Machine,,,,7.43,28/04/2002,True
Doom Donuts,Flip Effect Monster,1,Fiend,DARK,0,0,1.81,02/11/2005,False
"Alsei, the Sylvan High Protector",XYZ Monster,8,Plant,LIGHT,2300,3200,1.94,18/12/2019,False
Super Quantal Mech Ship Magnacarrier,Spell Card,,Field,,,,1.59,26/10/1999,False
Cyber Dragon Infinity,XYZ Monster,6,Machine,LIGHT,2100,1600,1.03,17/01/2006,False
Shuttleroid,Effect Monster,4,Machine,WIND,1000,1200,9.58,24/12/2002,False
T.A.D.P.O.L.E.,Effect Monster,1,Aqua,WATER,0,0,0.51,09/03/1999,True
Barrel Rock,Normal Monster,4,Rock,EARTH,1000,1300,2.43,05/10/2018,True
Ocean Dragon Lord - Neo-Daedalus,Effect Monster,8,Sea Serpent,WATER,2900,1600,7.87,27/12/2011,True
Hero Medal,Trap Card,,Normal,,,,0.37,09/10/2017,False
Ancient Gear Beast,Effect Monster,6,Machine,EARTH,2000,2000,6.61,19/05/2018,False
Elemental HERO Wildedge,Fusion Monster,8,Warrior,EARTH,2600,2300,1.83,22/07/2011,True
Sylvan Sagequoia,Effect Monster,7,Plant,WIND,2600,2100,3.56,20/10/2004,False
Hyper-Ancient Shark Megalodon,Effect Monster,8,Fish,WATER,2900,1300,4.79,19/12/2013,True
Return Soul,Trap Card,,Normal,,,,5.62,08/12/2001,False
Leogun,Normal Monster,5,Beast,EARTH,1750,1550,6.67,23/11/2009,False
Fishborg Doctor,Effect Monster,4,Fish,WATER,400,400,3.15,14/09/2010,False
Morphtronic Scopen,Tuner Monster,3,Machine,LIGHT,800,1400,4.59,04/02/2016,True
Zarigun,Normal Monster,2,Aqua,WATER,600,700,4.35,08/06/2010,False
Sacred Noble Knight of King Artorigus,XYZ Monster,5,Warrior,LIGHT,2200,2200,9.43,09/01/2003,True
Swallow Flip,Trap Card,,Counter,,,,1.93,26/09/2001,False
Ancient Rules,Spell Card,,Normal,,,,9.23,27/07/2004,True
Aegaion the Sea Castrum,XYZ Monster,8,Machine,WATER,0,3000,5.48,07/04/2020,True
Mirror of the Ice Barrier,Spell Card,,Quick-Play,,,,4.58,19/07/2002,True
Vylon Stigma,Effect Monster,4,Fairy,LIGHT,1600,1000,8.69,12/01/2010,True
Fire Formation - Tensu,Spell Card,,Continuous,,,,7.27,25/11/2005,False
Lady of the Lake,Tuner Monster,1,Aqua,LIGHT,200,1800,2.79,22/12/2008,True
Sylvan Cherubsprout,Effect Monster,1,Plant,LIGHT,100,100,9.59,31/10/2002,True
Guardian Ceal,Effect Monster,4,Pyro,FIRE,1700,1400,4.85,12/06/2020,True
Daigusto Eguls,Synchro Monster,7,Psychic,WIND,2600,1800,9.06,27/05/2005,True
Kid Guard,Trap Card,,Normal,,,,3.37,19/04/2001,True
Cú Chulainn the Awakened,Ritual Effect Monster,4,Warrior,LIGHT,500,1000,6.49,17/11/2018,False
Tour Guide From the Underworld,Effect Monster,3,Fiend,DARK,1000,600,0.89,04/10/2018,True
Great Phantom Thief,Effect Monster,3,Spellcaster,EARTH,1000,1000,9.34,26/01/2012,False
First of the Dragons,Fusion Monster,9,Dragon,DARK,2700,2000,3.32,31/01/2007,True
Forbidden Dark Contract with the Swamp King,Spell Card,,Continuous,,,,6.37,28/09/2011,True
Holograh,Normal Monster,3,Machine,EARTH,1100,700,9.34,21/12/2014,False
Bujingi Pavo,Effect Monster,4,Winged Beast,LIGHT,1700,800,9.44,27/09/2001,True
Earthbound Immortal Aslla piscu,Effect Monster,10,Winged Beast,DARK,2500,2500,2.42,16/11/2001,False
Masked HERO Vapor,Fusion Monster,6,Warrior,WATER,2400,2000,2.44,16/02/2018,False
Contact with the Aquamirror,Spell Card,,Normal,,,,5.38,05/03/2003,True
Time Magic Hammer,Fusion Monster,2,Spellcaster,LIGHT,500,400,4.9,21/07/2003,False
Barrier Statue of the Torrent,Effect Monster,4,Aqua,WATER,1000,1000,0.97,04/02/2004,False
Bug Emergency,Trap Card,,Normal,,,,1.96,22/01/2003,False
Amazoness Tiger,Effect Monster,4,Beast,EARTH,1100,1500,6.36,31/12/2001,False
Gradius,Normal Monster,4,Machine,LIGHT,1200,800,1.12,19/02/2015,True
Jurrac Guaiba,Effect Monster,4,Dinosaur,FIRE,1700,400,0.42,18/07/2018,True
Neko Mane King,Effect Monster,1,Beast,EARTH,0,0,6.83,28/12/2018,False
Frightfur Wolf,Fusion Monster,6,Fiend,DARK,2000,1500,1.59,16/04/2019,True
Psychic Feel Zone,Spell Card,,Normal,,,,5.99,15/07/2006,True
Super Hippo Carnival,Spell Card,,Quick-Play,,,,3.57,29/06/2018,False
Hippo Token,Token,,Beast,,,,3.46,14/08/2006,True
Hippo Token,Token,,Beast,,,,7.97,03/05/2005,False
Hippo Token,Token,,Beast,,,,1.3,20/06/2017,True
Hippo Token,Token,,Beast,,,,7.32,26/02/2008,True
Saber Slash,Spell Card,,Normal,,,,3.83,10/09/2004,True
Galaxy Serpent,Normal Tuner Monster,2,Dragon,LIGHT,1000,0,0.09,02/09/2002,True
The Fang of Critias,Spell Card,,Normal,,,,2.46,09/10/2018,False
Luster Dragon,Normal Monster,4,Dragon,WIND,1900,1600,6.26,23/04/2008,True
Shien's Castle of Mist,Spell Card,,Field,,,,4.62,18/04/2013,True
Xyz Universe,Trap Card,,Normal,,,,3.88,26/02/2005,True
That Grass Looks Greener,Spell Card,,Normal,,,,0.36,06/07/2013,True
Lancer Dragonute,Effect Monster,4,Dragon,DARK,1500,1800,3.12,17/02/2007,False
Crystal Counter,Trap Card,,Normal,,,,2.49,03/01/2017,False
Worm Hope,Flip Effect Monster,1,Reptile,LIGHT,800,1500,9.55,21/08/2015,True
The Kaiju Files,Spell Card,,Continuous,,,,3.41,05/02/2018,False
Lunalight Reincarnation Dance,Trap Card,,Normal,,,,8.29,30/10/2007,True
Bujincident,Trap Card,,Normal,,,,6.25,18/08/2020,False
Horus the Black Flame Dragon LV6,Effect Monster,6,Dragon,FIRE,2300,1600,5.04,28/06/2012,True
Reinforced Space,Trap Card,,Normal,,,,7.31,30/01/2006,False
Xyz Soul,Trap Card,,Normal,,,,3.01,21/11/2002,True
Destructotron,Effect Monster,4,Psychic,EARTH,1600,400,9.79,24/08/2006,False
Emperor of the Land and Sea,Normal Monster,5,Reptile,WATER,1800,1500,2.56,13/01/2017,False
Darklord Superbia,Effect Monster,8,Fairy,DARK,2900,2400,1.56,01/09/2016,False
TGX1-HL,Spell Card,,Quick-Play,,,,2.4,26/07/2015,False
Invoked Elysium,Fusion Monster,10,Fairy,LIGHT,3200,4000,5.42,14/09/2019,False
Quick-Span Knight,Tuner Monster,3,Machine,EARTH,1000,800,2.88,10/06/2017,True
Lunalight Black Sheep,Effect Monster,2,Beast-Warrior,DARK,100,600,2.23,12/12/2006,False
Dark Blade,Normal Monster,4,Warrior,DARK,1800,1500,2.61,17/07/2015,False
Electric Snake,Effect Monster,3,Thunder,LIGHT,800,900,5.8,11/11/2018,True
Dark Simorgh,Effect Monster,7,Winged Beast,DARK,2700,1000,6.74,20/04/2012,False
Proof of Powerlessness,Trap Card,,Normal,,,,7.07,09/07/2015,True
Cannon Soldier,Effect Monster,4,Machine,DARK,1400,1300,9.28,05/04/2012,True
Naturia Fruitfly,Effect Monster,3,Insect,EARTH,800,1500,8.32,10/08/2013,True
King of the Feral Imps,XYZ Monster,4,Reptile,DARK,2300,2000,4.7,16/08/2003,False
Machine Angel Absolute Ritual,Spell Card,,Ritual,,,,3.02,27/11/2015,True
Lunalight Blue Cat,Effect Monster,4,Beast-Warrior,DARK,1600,1200,2.29,07/10/2013,False
Grave Protector,Effect Monster,4,Fiend,DARK,0,2000,0.4,02/11/2009,False
Sky Scourge Enrise,Effect Monster,8,Fairy,LIGHT,2400,1500,9.11,16/01/2010,True
Etoile Cyber,Effect Monster,4,Warrior,EARTH,1200,1600,4.66,02/11/2008,False
Light Laser,Spell Card,,Equip,,,,1.32,30/12/2000,True
Artifact Achilleshield,Effect Monster,5,Fairy,LIGHT,1500,2200,9.98,03/04/2019,False
Fortissimo,Spell Card,,Continuous,,,,8.37,21/11/2008,False
Kickfire,Trap Card,,Continuous,,,,5.34,06/05/2020,False
Elemental HERO Air Neos,Fusion Monster,7,Warrior,WIND,2500,2000,4.94,04/01/2003,False
Mutant Mindmaster,Effect Monster,6,Spellcaster,DARK,0,2500,9.76,19/02/2007,False
Zoodiac Tigermortar,XYZ Monster,4,Beast-Warrior,EARTH,0,0,3.11,30/10/2015,True
Outstanding Dog Marron,Effect Monster,1,Beast,LIGHT,100,100,9.77,06/06/2014,True
Gamma the Magnet Warrior,Normal Monster,4,Rock,EARTH,1500,1800,3.35,03/10/2001,False
Ritual Beast Steeds,Trap Card,,Normal,,,,9.52,01/11/1999,False
Chaos Trap Hole,Trap Card,,Counter,,,,2,03/03/2004,False
Reckoned Power,Trap Card,,Normal,,,,2.45,18/12/2017,True
Blackwing - Elphin the Raven,Effect Monster,6,Winged Beast,DARK,2200,1200,0.1,14/04/2020,False
Super Quantal Mech Beast Aeroboros,XYZ Monster,4,Machine,WIND,2200,2400,0.28,26/05/2003,True
Gellenduo,Effect Monster,4,Fairy,LIGHT,1700,0,3.99,10/05/2019,False
Protective Soul Ailin,Union Effect Monster,1,Fairy,LIGHT,0,0,7.83,25/08/2013,True
Sylvan Bladefender,Effect Monster,4,Plant,EARTH,1900,700,9.81,29/05/2010,False
Blast Asmodian,Effect Monster,3,Fiend,FIRE,1000,300,0.83,22/01/2014,True
Xyz Change Tactics,Spell Card,,Continuous,,,,3.91,01/07/2002,True
"30,000-Year White Turtle",Normal Monster,5,Aqua,WATER,1250,2100,8.8,01/04/2005,True
Worm Xex,Effect Monster,4,Reptile,LIGHT,1800,1000,5.92,08/06/2016,False
Raigeki Bottle,Trap Card,,Continuous,,,,9.33,15/02/2020,False
Union Rider,Effect Monster,2,Machine,WIND,1000,1000,6.62,30/06/2017,True
Spore,Tuner Monster,1,Plant,WIND,400,800,2.82,04/07/2008,False
Sasuke Samurai 2,Effect Monster,1,Warrior,WIND,200,300,6.46,11/07/2018,False
Beast of Talwar,Normal Monster,6,Fiend,DARK,2400,2150,8.81,22/12/2008,False
Buster Dragon,Synchro Monster,8,Dragon,DARK,1200,2800,5.24,24/05/2013,False
Gorgon Egg,Normal Monster,3,Fiend,DARK,300,1300,8.21,14/05/2020,False
Barkion's Bark,Spell Card,,Normal,,,,7.99,29/02/2016,True
Great Angus,Normal Monster,4,Beast,FIRE,1800,600,5.25,09/01/2017,True
"Tytannial, Princess of Camellias",Effect Monster,8,Plant,WIND,2800,2600,1.95,01/02/2013,True
Ancient Leaf,Spell Card,,Normal,,,,6.19,21/08/2004,True
Laval Blaster,Effect Monster,4,Warrior,FIRE,1200,800,7.82,10/11/2011,False
Madolche Magileine,Effect Monster,4,Spellcaster,EARTH,1400,1200,3.76,18/04/2006,True
Goblin's Secret Remedy,Spell Card,,Normal,,,,2.38,11/03/2004,False
Evigishki Mind Augus,Ritual Effect Monster,6,Aqua,WATER,2500,2000,8.33,15/08/2000,False
B. Skull Dragon,Fusion Monster,9,Dragon,DARK,3200,2500,5.45,12/10/2009,True
Instant Neo Space,Spell Card,,Equip,,,,0.39,21/04/2001,False
Hunting Instinct,Trap Card,,Normal,,,,9.37,18/11/2018,False
Flyfang,Effect Monster,3,Fish,WIND,1600,300,9.37,03/03/2011,False
Bujingi Raven,Effect Monster,4,Winged Beast,LIGHT,1600,900,4.76,14/05/2009,True
Different Dimension Capsule,Spell Card,,Normal,,,,6.8,13/11/2000,False
Hieratic Seal of Banishment,Trap Card,,Normal,,,,0.69,09/11/2000,False
Nin-Ken Dog,Normal Monster,4,Beast-Warrior,WIND,1800,1000,4.56,18/02/2009,False
Gagaga Cowboy,XYZ Monster,4,Warrior,EARTH,1500,2400,6.65,11/11/2015,True
Goblin Calligrapher,Normal Monster,1,Fiend,DARK,400,400,3.91,09/08/2018,False
Dark Calling,Spell Card,,Normal,,,,4.12,23/03/2000,False
Wind-Up Dog,Effect Monster,3,Beast,EARTH,1200,900,3.42,17/01/2016,False
Delta Tri,Effect Monster,4,Machine,LIGHT,1200,1000,0.19,24/01/2009,False
Shattered Axe,Trap Card,,Continuous,,,,4.19,28/12/1999,False
People Running About,Normal Monster,2,Pyro,FIRE,600,600,5.06,15/03/2015,True
Bolt Escargot,Normal Monster,5,Thunder,WATER,1400,1500,1.63,18/03/2005,False
Scrounging Goblin,Effect Monster,4,Fiend,EARTH,1000,2000,3.15,05/02/2006,True
Elephant Statue of Disaster,Effect Monster,3,Rock,EARTH,1500,0,2.69,28/10/2007,False
"Zeradias, Herald of Heaven",Effect Monster,4,Fairy,LIGHT,2100,800,2.42,26/03/2009,False
Hydro Pressure Cannon,Spell Card,,Equip,,,,0.85,12/04/2003,True
Triangle Ecstasy Spark,Spell Card,,Normal,,,,1.45,23/07/2002,False
Card Shuffle,Spell Card,,Continuous,,,,1.4,13/11/2012,False
Commander of Swords,Trap Card,,Normal,,,,0.1,05/05/1999,True
Harpie Lady Sisters,Effect Monster,6,Winged Beast,WIND,1950,2100,6.93,30/04/2000,False
